Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations,year,Participant Gender,Participant Name,Participant Age Group,# Casualties,Latitude,Longitude,Day Name,Month
2018-01-20,Ohio,Lorain,Larkmoor Ave and Missouri Ave,2.0,0.0,0.0,0.0,1.0,,2018,,,,2.0,41.4673238,-82.1781904,Saturday,January
2018-01-20,California,Compton,2876 W Alondra Blvd,0.0,1.0,0.0,0.0,2.0,,2018,,,,1.0,33.894927,-118.226624,Saturday,January
2018-01-20,Illinois,Chicago,2000 N Laramie Ave,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,41.8755616,-87.6244212,Saturday,January
2018-01-21,Florida,Orlando,3101 Willow Bend Blvd,4.0,0.0,0.0,0.0,2.0,,2018,,,,4.0,28.5421109,-81.3790304,Sunday,January
2018-01-23,Colorado,Colorado Springs,1145 Bell Tower Heights,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,38.8339578,-104.825348,Tuesday,January
2018-01-24,Arkansas,Warren,S Martin St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.8119602,-79.2654452,Wednesday,January
2018-01-24,Texas,Fort Worth,3900 block of Lawnwood St,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,32.753177,-97.3327459,Wednesday,January
2018-01-24,Georgia,Atlanta,2543 Susan Lane,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.7489924,-84.3902644,Wednesday,January
2018-01-25,Missouri,Grain Valley,900 block of NW Dogwood Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.0187651,-94.1976452,Thursday,January
2018-01-25,Wisconsin,Livingston,W Co Rd E,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,40.8682487,-88.5631125,Thursday,January
2018-01-25,Georgia,Byromville,Church Ave and Hill Street,1.0,3.0,0.0,0.0,0.0,,2018,,,,4.0,32.2021071,-83.9085132,Thursday,January
2018-01-25,Utah,Vernal,,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,40.4556825,-109.528474,Thursday,January
2018-01-26,Florida,Marianna,Townhouse Rd,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,30.7743596,-85.2268735,Friday,January
2018-01-27,Texas,Texas City,2800 block of Lynn Cir,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,29.396013,-94.9175485,Saturday,January
2018-01-28,Tennessee,Madison,Sarver St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,43.074761,-89.3837613,Sunday,January
2018-01-28,New Jersey,Jersey City,57 Dales Ave,1.0,0.0,0.0,0.0,2.0,,2018,,,,1.0,40.7215682,-74.047455,Sunday,January
2018-01-28,Texas,Houston,1400 block of W Gulf Bank Rd,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,29.7589382,-95.3676974,Sunday,January
2018-01-29,California,Los Angeles,10400 block of Avalon Blvd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,34.0536909,-118.242766,Monday,January
2018-01-29,Indiana,South Bend,1800 block of Chapin St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.6833813,-86.2500066,Monday,January
2018-01-29,Nevada,Carson City,3400 block of Airport Rd,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,39.1698022,-119.7575628,Monday,January
2018-01-29,Missouri,Poplar Bluff,Hwy JJ,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,36.7568327,-90.3957115,Monday,January
2018-01-31,Illinois,Chicago,10300 S Ave N,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.8755616,-87.6244212,Wednesday,January
2018-02-01,South Carolina,Sumter,800 block of Broad St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,28.6689748,-82.076402,Thursday,February
2018-02-02,Missouri,Saint Louis,6200 block of Kinsey Pl,0.0,2.0,0.0,1.0,0.0,,2018,,,,3.0,38.6280278,-90.1910154,Friday,February
2018-02-03,South Carolina,Dillon,Lester Rd,2.0,1.0,0.0,0.0,1.0,,2018,,,,3.0,34.4014089,-79.3864339,Saturday,February
2018-02-05,Kansas,Girard,130th St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,37.5111596,-94.8380215,Monday,February
2018-02-05,Texas,Mabank,Albany Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.397251350000005,-96.16790108665325,Monday,February
2018-02-06,Indiana,Fort Wayne,1900 Pontiac St,3.0,0.0,0.0,0.0,0.0,,2018,,,,3.0,41.0799898,-85.1386015,Tuesday,February
2018-02-08,Alabama,Talladega,,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,33.3967079,-86.1597137,Thursday,February
2018-02-08,Florida,Jacksonville,2000 block of Lewis St,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,30.3321838,-81.655651,Thursday,February
2018-02-10,Georgia,Atlanta,Cedar Avenue,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.7489924,-84.3902644,Saturday,February
2018-02-10,Missouri,Barnhart,7218 Valley Dr,0.0,1.0,0.0,1.0,0.0,,2018,,,,2.0,38.3397205,-90.40674247584822,Saturday,February
2018-02-11,Ohio,Cleveland,6800 block of Guthrie Ave,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,41.4996574,-81.6936772,Sunday,February
2018-02-12,Alabama,Birmingham,5001 Sugar Ray Dr,1.0,0.0,1.0,0.0,0.0,,2018,,,,2.0,52.4796992,-1.9026911,Monday,February
2018-02-13,Missouri,Kansas City (Raytown),6307 Ash Ave,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.9555508,-94.4658557,Tuesday,February
2018-02-14,Georgia,Savannah,Sunset Blvd and April St,1.0,1.0,0.0,0.0,0.0,,2018,,,,2.0,32.0790074,-81.0921335,Wednesday,February
2018-02-16,Ohio,Akron,900 block of Mercer Ave,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,41.083064,-81.518485,Friday,February
2018-02-18,Missouri,Saint Louis,Montgomery St and N Grand Blvd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.6280278,-90.1910154,Sunday,February
2018-02-18,California,Madera,Tozer St and Olive Ave,1.0,1.0,0.0,0.0,0.0,,2018,,,,2.0,37.1716264,-119.7737991,Sunday,February
2018-02-18,Florida,Jacksonville,1300 block of Mount Herman St,1.0,1.0,0.0,0.0,0.0,,2018,,,,2.0,30.3321838,-81.655651,Sunday,February
2018-02-18,Texas,San Antonio,2893 Cinema Ridge,5.0,0.0,0.0,0.0,0.0,,2018,,,,5.0,29.4246002,-98.4951405,Sunday,February
2018-02-19,South Carolina,North Charleston,Hillandale Rd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.8546197,-79.9748103,Monday,February
2018-02-19,Tennessee,Brownsville,Highland St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,25.9140277,-97.4890879,Monday,February
2018-02-20,Michigan,Bay City,3716 Wheeler Rd,0.0,2.0,0.0,1.0,0.0,,2018,,,,3.0,43.5944677,-83.8888648,Tuesday,February
2018-02-20,Alabama,Moulton,Pinhook Rd,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,40.6849851,-92.6772505,Tuesday,February
2018-02-21,New Jersey,Asbury Park,405 Ridge Ave,1.0,1.0,0.0,0.0,2.0,,2018,,,,2.0,40.2203907,-74.0120817,Wednesday,February
2018-02-21,Kentucky,Hulen,68 Charles Collett Road,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,34.5041714,-98.2214239,Wednesday,February
2018-02-22,Tennessee,Jackson,100 block of E Deaderick St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.3086744,-90.1983063,Thursday,February
2018-02-23,Ohio,Akron,Hamlin St and Wildwood Ave,3.0,0.0,0.0,0.0,0.0,,2018,,,,3.0,41.083064,-81.518485,Friday,February
